Task Name,Bucket,Progress,Priority,Start Date,Due Date,Description
HRIS API Integration,Engineering,Not started,Medium,2026-04-01,2026-04-15,Phase: Phase 1: Identity & Trust | Owner: Identity Team
Phishing-Resistant MFA Rollout,Security,Not started,Medium,2026-04-15,2026-05-15,Phase: Phase 1: Identity & Trust | Owner: SecOps
CAE Token Enforcement,Security,Not started,Medium,2026-05-01,2026-06-01,Phase: Phase 1: Identity & Trust | Owner: Identity Team
InfoBlox-ServiceNow Sync Deployment,Engineering,Not started,Medium,2026-06-01,2026-07-01,Phase: Phase 2: Management & Governance | Owner: Orchestration Team
CyberArk-ServiceNow Sync Deployment,Engineering,Not started,Medium,2026-07-01,2026-08-01,Phase: Phase 2: Management & Governance | Owner: Privileged Identity Team
Audit Trail Automation,Compliance,Not started,Medium,2026-08-01,2026-08-30,Phase: Phase 2: Management & Governance | Owner: GRC Team
Sentinel KQL Alert Configuration,Security,Not started,Medium,2026-09-01,2026-10-01,Phase: Phase 3: Visibility & Telemetry | Owner: SOC
Intune Compliance Fabric,Engineering,Not started,Medium,2026-10-01,2026-11-01,Phase: Phase 3: Visibility & Telemetry | Owner: Endpoint Team
Teams Adaptive Card Integration,Operations,Not started,Medium,2026-11-01,2026-11-15,Phase: Phase 3: Visibility & Telemetry | Owner: Orchestration Team
Palo Alto Dynamic DAG Integration,Security,Not started,Medium,2026-12-01,2027-01-15,Phase: Phase 4: Maturity & Enforcement | Owner: Network Security
Cisco SD-WAN Quarantine Policy,Engineering,Not started,Medium,2027-01-15,2027-02-15,Phase: Phase 4: Maturity & Enforcement | Owner: Network Team
Project Completion & Handover,Operations,Not started,Medium,2027-02-15,2027-03-01,Phase: Phase 4: Maturity & Enforcement | Owner: Michael Stratton
